{X:92,76762 Y:1,712756 Z:79,99384}
{X:104 Y:2 Z:98}
{X:93,91009 Y:1,936058 Z:102,0459}
{X:81,86011 Y:1,549751 Z:74,58681}
{X:104 Y:2 Z:98}
{X:91,62872 Y:1,762094 Z:86,34259}
{X:89,40604 Y:6,391868 Z:58,51569}
{X:59,7524 Y:19,90438 Z:48,36512}
{X:104 Y:2 Z:98}
{X:104 Y:2 Z:98}
{X:104 Y:2 Z:98}
{X:88,10053 Y:1,832148 Z:97,38548}
{X:110,6071 Y:7,028983 Z:48,8556}
{X:110,6071 Y:7,028983 Z:48,8556}
{X:110,6071 Y:7,028983 Z:48,8556}
{X:0 Y:275,0408 Z:7,652927}
{X:0 Y:270,0561 Z:9,97733}
{X:0 Y:270,0561 Z:9,97733}
{X:0 Y:270,0561 Z:9,97733}
{X:0 Y:270,0561 Z:9,97733}
{X:0 Y:232,898 Z:16,1073}
{X:0 Y:228,4152 Z:15,7151}
{X:0 Y:228,4152 Z:15,7151}
{X:0 Y:228,4152 Z:15,7151}
{X:0 Y:228,4152 Z:15,7151}
{X:0 Y:228,4152 Z:15,7151}
{X:0 Y:228,4152 Z:15,7151}
{X:0 Y:176,3633 Z:13,26327}
{X:0 Y:176,3633 Z:13,26327}
{X:0 Y:176,3633 Z:13,26327}
